Date,DEXKOUS
2021-06-04,1112.03
2021-06-07,1111.01
2021-06-08,1116.43
2021-06-09,1116.58
2021-06-10,1114.17
2021-06-11,1116.57
2021-06-14,1117.57
2021-06-15,1118.33
2021-06-16,1118.42
2021-06-17,1130.14
2021-06-18,1135.28
2021-06-21,1134.19
2021-06-22,1137.07
2021-06-23,1133.89
2021-06-24,1131.50
2021-06-25,1127.36
2021-06-28,1130.29
2021-06-29,1131.68
2021-06-30,1130.42
2021-07-01,1134.37
2021-07-02,1132.42
2021-07-05,
2021-07-06,1137.17
2021-07-07,1141.26
2021-07-08,1147.96
2021-07-09,1145.08
2021-07-12,1146.29
2021-07-13,1146.29
2021-07-14,1147.43
2021-07-15,1141.21
2021-07-16,1139.35
2021-07-19,1147.17
2021-07-20,1150.45
2021-07-21,1153.03
2021-07-22,1149.99
2021-07-23,1153.53
2021-07-26,1154.75
2021-07-27,1156.32
2021-07-28,1156.27
2021-07-29,1142.09
2021-07-30,1151.86
2021-08-02,1150.72
2021-08-03,1149.45
2021-08-04,1142.99
2021-08-05,1142.53
2021-08-06,1145.87
2021-08-09,1145.83
2021-08-10,1152.50
2021-08-11,1156.09
2021-08-12,1162.78
2021-08-13,1168.36
2021-08-16,1166.78
2021-08-17,1177.08
2021-08-18,1170.18
2021-08-19,1173.89
2021-08-20,1180.40
2021-08-23,1169.73
2021-08-24,1165.43
2021-08-25,1164.24
2021-08-26,1169.88
2021-08-27,1162.50
2021-08-30,1166.33
2021-08-31,1158.32
2021-09-01,1156.03
2021-09-02,1160.95
2021-09-03,1155.44
2021-09-06,
2021-09-07,1162.88
2021-09-08,1166.21
2021-09-09,1169.61
2021-09-10,1169.63
2021-09-13,1173.33
2021-09-14,1170.71
2021-09-15,1168.58
2021-09-16,1171.23
2021-09-17,1175.34
2021-09-20,1186.73
2021-09-21,1185.15
2021-09-22,1182.41
2021-09-23,1173.48
2021-09-24,1176.53
2021-09-27,1175.90
2021-09-28,1183.61
2021-09-29,1181.75
2021-09-30,1183.70
2021-10-01,1187.24
2021-10-04,1182.40
2021-10-05,1188.31
2021-10-06,1192.60
2021-10-07,1190.76
